,recording_id,artist_name,track_name,lyrics_artist,lyrics_track,lyrics,artist_name_lower
15107,15108,DMX,Party Up (Up In Here),Party Up (Up in Here),DMX,"[DMX]
Uhh.. UH! .. WHOO!

Chorus: DMX

Y'all gon' make me lose my mind
up in HERE, up in here
Y'all gon' make me go all out
up in here, up in here
Y'all gon' make me act a FOOL
up in HERE, up in here
Y'all gon' make me lose my cool
up in here, up in here

[DMX]
If I gotsta bring it to you cowards then it's gonna be quick, aight
All your mens up in the jail before, suck my dick
and all them other cats you run with, get done with, dumb quick
How the fuck you gonna cross the dog with some bum shit? Aight
There go the gun click, nine one one shit
All over some dumb shit, ain't that some shit
Y'all niggaz remind me of a strip club, cause everytime
you come around, it's like (what) I just gotta get my dick sucked
And I don't know who the fuck you think you talkin to
but I'm not him, aight slim? So watch what you do
Or you gon' find yourself, buried next to someone else
and we all thought you loved yourself
But that couldn't have been the issue, or maybe
they just sayin that, now cause they miss you
Shit a nigga tried to diss you
That's why you layin on your back, lookin at the roof of the church
Preacher tellin the truth and it hurts

Chorus

[DMX]
Off the chain I leave niggaz soft in the brain
cause niggaz still want the fame, off the name
First of all, you ain't rapped long enough
to be fuckin with me and you, you ain't strong enough
So whatever it is you puffin on that got you think that you Superman
I got the Kryptonite, should I smack him with my dick and the mic?
Y'all niggaz is characters, not even good actors
What's gon' be the outcome? Hmm, let's add up all the factors
You wack, you're twisted, your girl's a hoe
You're broke, the kid ain't yours, and e'rybody know
Your old man say you stupid, you be like, &amp;quot;So?
I love my baby mother, I never let her go&amp;quot;
I'm tired of weak ass niggaz whinin over puss
that don't belong to them, fuck is wrong with them?
They fuck it up for real niggaz like my mans and them
who get it on on the strength of the hands with them, MAN

Chorus

[DMX]
I bring down rains so heavy it curse the head
No more talkin - put him in the dirt instead
You keep walin - lest you tryin to end up red
Cause if I end up fed, y'all end up dead
Cause youse a soft type nigga
Fake up North type nigga
Puss like a soft white nigga
Dog is a dog, blood's thicker than water
We done been through the mud and we quicker to slaughter
The bigger the order, the more guns we brought out
We run up in there, e'rybody come out, don't nobody run out
Sun in to sun out, I'ma keep the gun out
Nigga runnin his mouth? I'ma blow his lung out
Listen, yo' ass is about to be missin
You know who gon' find you? (Who?) Some old man fishin
Grandma wishin your soul's at rest
but it's hard to digest with the size of the hole in your chest

Chorus

[DMX]
Hold up! ERRRRRRRR!
One.. two.. meet me outside
meet me outside, meet me outside
All my Ruff Ry-DERS gon' meet me outside
meet me outside, meet me outside
All my big ball-ERS gon' meet me outside
meet me outside, meet me outside
All my fly lad-IES gon' meet me outside
meet me outside, meet me outside
All my street street peoples meet me outside
meet me outside, outside motherfucker

X is got y'all bouncin again
Bouncin again, bounce-bouncin again
Dark Man X got ya bouncin again
Bouncin again, bounce-bouncin again
Swizz Beatz got y'all bouncin again
Bouncin again, bounce-bouncin again (Swizz Beatz)
Ruff Ryders got y'all bouncin again (DMX)
Bouncin again, bounce-bouncin again
Dark Man keep you bouncin again
Bouncin again, bounce-bouncin again
Dark Man keep you bouncin again
Bouncin again, bounce-bouncin again
All my streets they bouncin again
Bouncin again, we're bouncin again
Swizz Swizz Beatz we bouncin again
Bouncin again and we bouncin again
Double R keep it comin, ain't nuttin y'all
Ain't nuttin y'all can do, now.. {*BOOM*}",dmx
15220,15221,T.I.,Bring Em Out,Bring Em Out,T.I.,"[Intro: Jay Z snippet]
(Bring 'em out, Its hard to yell when the barrels in ya mouth) Swizzie!
(Bring 'em out, bring 'em out) Aye!
(Bring 'em out, bring 'em out) T.I.
(Bring 'em out, bring 'em out) Aye!

[Verse 1]
TIP comin live from the VIP, heard the night life lost life when I leave
Both the Feds and the State wanna see my need
The whole city got bizzerk he got treat
Anotha nigga got a hit but shawty he not me
Who set the city on fire as soon as he got freed
Da king back now hoes don't even know how to act now
Hit the club stippers gettin naked 'fore I sat down
Still ballin money stack taller than Shaq now
Still push a button to let the roof on the 'Lac down
I'm on the road doin shows puttin my mack down
Mississippi to Philly Albuquerque to Chatt Town

[Hook]
I got the crowd yellin (Bring 'em out, bring 'em out)
Aye, all my hotgirls yellin (Bring 'em out, bring 'em out)
Aye, all the Dope Boyz yellin (Bring 'em out, bring 'em out)
Aye, from the back they yellin (Bring 'em out, bring 'em out)

[Verse 2]
Once again what other rap nigga hooder than this
I got rich and I'm still on some hoolagin shit
You be rappin bout blow I was movin the shit
You talkin bout shootin out and I was doin the shit
If I hit you in the face you gon be suin and shit
And if I catch anotha case I know I'm true to be missed
So I'ma keep it cool head stay out of the news
Headlines and shows other rappers its bedtime (bedtime)
It's clear to see that I'm ahead of my time
I copped a chromed out hard top Carrerra to shine
I got some time, it ain't shit cause I get better wit time
Who got a flow and a live show better than mine

[Hook]
I got a packed house yellin (Bring 'em out, bring 'em out)
Aye, all my hotgirls yellin (Bring 'em out, bring 'em out)
Aye, all the Dope Boyz yellin (Bring 'em out, bring 'em out)
Aye, from the back they yellin (Bring 'em out, bring 'em out)

[Verse 3]
Mic check 1-2 1-2, you wanna beef wit the king what is you gon do
Will you show up on the scene wit 2 guns drew
Or you and ya friend and play a little two on two
If you knew half of what I knew then you'll be hittin the deck
Got a tool and a vest I can get some respect
I'ma make it hard for a sucka nigga to flex
Sho 'em this ain't the squad for a nigga to test
Pimp my nutz too large and we way too fresh
Work well wit Nines AK's and Techs
And quick to check a lame like a game of chess
You want beef you can bring ya best and we'll be standin..

[Hook - 2X]
In ya front yard yellin (Bring 'em out, bring 'em out)
Aye all my hot girls yellin (Bring 'em out, bring 'em out)
Aye, all the Dope Boyz yellin (Bring 'em out, bring 'em out)
Aye, from the back they yellin (Bring 'em out, bring 'em out)

[Break - 2X]
Hands... In Da... Air... Now!
Hands... In Da... Air... Now!
Hands hands in the in the air air now!
Hands... In Da... Air... Now!

[Bring 'em out, bring 'em out + ad libs to the end of the track]",t.i.
15224,15225,Coolio,Fantastic Voyage,Fantastic Voyage,Coolio,"Come on y'all let's take a ride
Don't ya say shit just get inside
It's time to take your ass on another kind of trip
Cuz you can't have the hop if you don't have the hip
Grab you gat with the extra clip
And close your eyes and hit the switch
We're going to a place where everybody kick it, kick it, kick it
Yea that's the ticket
Ain't no bloodin
ain't no crippin
ain't no punk ass niggaz set trippin'
Everybody got a stack and it ain't no crack
And it really don't matter if you're white or black
I wanna take you there like the Staple Singers
Put something in the tank, and I know that I can bring ya
If ya can't take the heat get ya ass out the kitchen
We on a mission

Come along and ride on a fantastic voyage
Slide, slide slippity slide
I'm hittin switches on the block in a 65
Come along and ride on fantastic voyage
Slide slide hoo ride, ain't no valley low enough or mountain high

I'm tryin to find a place where I can live my life and
Maybe eat some steak with my beans and rice
A place where my kids can play outside without livin in fear of a drive by
And even if I get away from them drive by killaz
I still gotta worry about those snitch ass niggaz
I keep on searchin and I keep on lookin
But niggaz are the same from Watts to Brooklyn
I try to keep my faith in my people
But sometimes my people be actin like they evil
You don't understand about runnin with a gang
Cause you don't gang bang
And you don't have to stand on the corner and slang
Cause you got your own thang
You can't help me if you can't help yourself
You better make a left

Come along and ride on a fantastic voyage
Slide, slide slippity slide
I do what I do just to survive
Come along and ride on a fantastic voyage
Slide slide hoo ride, that's why I pack my 45

Life is a bitch and then you die
Still trying to get a piece of that apple pie
Every game ain't the same cause the game still remain
Don't it seem kinda strange ain't a damn thing changed
If you don't work then you don't eat
And only down ass niggaz can ride with me
Hip hop hop your 45 quickly down the block
Stay sucker free and keep the busters of your jock
You gotta have heart son if you wanna go
Watch this sweet chariot swing low
Ain't nobody crying ain't nobody dyin
Ain't nobody worryin everybody's tryin
Nothing from nothin leaves nothin
If you wanna have somethin you better stop frontin
What you gonna do when the 5 rolls by
You better be ready so you can ride

Come along and ride on a fantastic voyage
Slide slide slippity slide if you're living in the city it's do or die
Come along and ride on a fantastic voyage
Slide slide hoo ride you better be ready for the 5 rolls by

Just roll along (that's what you do)
Just roll along (that's right)
Just roll along (that's what you do)
Just roll along (that's right)

Do you want to ride with me
(REPEAT 9 TIMES)",coolio
15225,15226,Coolio,Too Hot,Too Hot,Coolio,"Everybody listen up cause I'm about to get my speak on
Fools be trippin when it's time to get their freak on
Runnin round town, puttin it down with-out
no protection, for they erection
When it's time for selection what's your direction?
Before you make a choice, you betta do some inspection
If you don't know my aim and don't know my game, then
Let me explain now
Iesha slept wit Mark and Mark slept wit Tina
And Tina slept wit Javier the first time he seen her
Javier slept wit Lupe and Lupe slept with Rob
Cuz he was rollin on beads and had a good ass job
Rob slept wit Lisa who slept wit Steve and
Steve was positive, H.I.V.
What started off as a plan ended up in the plot
Ya betta cool ya ass off cause it's too damn hot

Chorus: J.T. Taylor

Oh-ohh it's too hot, *too hot*, too hot lady *too hot*
Gotta run for shelter, gotta run for shade
It's too hot, *too hot*, too hot homie *too hot*
Gotta make some sense, from this mess that we made

You're doin everything momma told ya not to do
Now you're tryin to walk away cause ya know it's true
Your sister can't explain, and your brother's ashamed
to admit you both have the same last name
I don't have to ask you where you've been
Cause the matches in your purse say Holiday Inn
""A mind is a terrible thing to waste"" that was the slogan
But now it's ninety-five and it's ""Don't forget the Trojan""
Explained it to her momma, before somebody get her
Gotta hip her to the game of those smooth talkin niggaz
Love is the word, seldom meant but often heard
Latex safe sex you better learn
Or get hip to the facts before you react or
end up in a box on your back
Sometimes you ask for what you want and, get what you got
Don't get caught up in the plot, it's too damn hot

*Chorus*

Another day in the city and, oh what a pity
Even though we did our duty things are still lookin shitty
Everybody in the pack stacked, tryin to make some scratch
Walkin in the rain but they ain't got no hat
Understand how we livin in the nineties loc
Nuclear waste, cannibalism, and pistol smoke
Sex lies videotape and rape
Just a little bump n grind can seal your fate
We need to do something drastic, shit is gettin tragic
And if you don't believe me, then go ask Magic
Everybody an they momma preachin abstinence, these
kids ain't checkin for absti-shit
So put a condom in they hand and hope it don't bust
Another victim of the lust, in God we trust
What started off as a plan ended up in the plot
Water can't cool it off cause it's too damn hot

*Chorus 2.5X* +
line 4: listen to Coolio
line 5: the message comes from Coolio
line 6: listen to Coolio
line 7: the message comes from Coolio
line 8: listen to Coolio
line 9: the message comes from Coolio",coolio
15271,15272,The Beatnuts Featuring Big Punisher & Cuban Link,Off The Books,Off the Books,The Beatnuts,"[Big Punisher]
Hey yo it's all love, but love's got a thin line
and Pun's got a big nine, respect crime but not when it reflect mine
The shit I'm on is wrong but it lasts long
Pull a fast one, then Pun'll wake up, with the stash gone
I'm mad strong, and my cream is fast
Smoke the greenest grass, my bitch got the meanest ass
and a taste legit, I don't have to waste a whole case of Crist'
All it takes is my pretty face and my gangsta wit
Lace the click, cause we all share
It's all fair like love and war, thug galore with the long hair
Big Pun, Pun the name that makes the kids run
Like spelling murder reverse it deliver redrum
Come one, come all, if you wanna brawl
I'm the mighty Thor clotheslining motherfuckers like Steven Segall
Cause all you gonna get, is your ass kicked or up in a casket
That's it (that's it?) That's it

[Cuban Link]
Punisher bash it, at last it's, rappers that really blast shit
Cats getting Big Willie niggaz like Billy Bathgate
Up in Jimmy's Cafe, havin caviar
Crackin Cristal at the bar, smokin cigars, livin large
We rob and steal, run with the mob, doin jobs for bills
I'm hard to kill for real nigga guard your grill
I like to chill, spark an L and get high
I'm one hell of a guy, fly pelican fly

[JuJu]
Whattup Duke-o, you know, politickin papi chuco
I'm out here, watching for Jake, getting this loot though
Shoot bro, I got a waterproof suit yo
Swervin like a A.K.A. in Beirut yo
squeezin, out of automatic M3's and
please, you ain't seen no thugs like these
I can tell you lots of things that'll make you believe
In Corona yo it's better to take than to receive

[Psycho Les]
Your career's on life support, and I'ma pull the plug
and have every thug shootin that Beatnut drug
in they blood, no escapin this
Niggaz is goin over their favorite shit (for what?) to be tapin this
World premier, loud and clear
Lye and beer, get the dough, blow up the show
Dissapear, jump in the Cavalier
Feelin marvelous, street pharmacist, twist arboles
For pleasure, bring your territory sever
Keep my workers under pressure got em sayin &amp;amp;quot;FUCK LESTER&amp;amp;quot;
But that's aight Duke-o, my heart nowadays too cold
Don't give a fuck where you been what you done
where you go, you know, peep this favorite
In black shades like a secret, agent
We're night thieves, roll up on you sleeves
We light trees, bust these and stack cheese",the beatnuts featuring big punisher & cuban link
15272,15273,MC Lyte,Cold Rock A Party,Cold Rock a Party,MC Lyte,"Intro:

To the L, to the Y and the T to the E
So get ready cause I want everybody to say this with me
Rock the house, rock the house, rock the house

Chorus:

Now I cold rock a party in a b-girl stance
I rock on the floor make the fellas wanna dance
I be the shit and it's all good and if you understood

Verse One:

Would you stop scheming and trying to look hard
I get my bodyguard, You get that booty scarred, I'm a veteran
which means that I've been in the game too long
Since the days of Paper Thin way back when I've been putting it
down ask your homies who's the baddest bitch on this side of
the M I C, I go for broke, Never giving it less than the best
Lots of years in the game at your request, You like the rhyme
Bite if you dare, I get the paper so I don't care, Fly that's me
The epitomy of what a real MC is supposed to be, Fucking you up
everytime that I drop, Fuck a bullet baby, I done took your spot
I guide the best and I ride it well and if you take a look
it ain't hard to tell that I

Chorus (repeat)

Back off me and let my skin breathe, Lyte is everlasting
it's hard to believe I shall prevail cause I'm next to none
Cause I'm claiming no set, Don't plan to get down
Just Brooklyn is where I'm from but I'm resting in Studio City
for the fun, if you don't understand just say you don't (nah!)
and don't wait for me to explain cause I won't
You see it's in my nature to be the best, West to East
See East to West, ready or not I have arrived and I'm live
Showing an MC how to survive. Cause it's crazy how I
get you captured with my tactics, I got many witnesses
that can back this ruffnecks from New York to LA
Been down with me since Poor George
It's '96 -- it's all about show and prove and I'm about to
make the ill type moves, I guide the best and ride it well
and if you take a look it ain't hard to tell that I

Chorus (repeat)

Get out my shit, Please let me be, I don't see why -- you KGB
Why you gotta be all up on me like that, Trying to get over
like a fat rat, but I understand -- I'm a woman in the land of hip-hop
And the shit don't stop, it goes on, on, on, on
You see the shit don't stop till the break of dawn
And now who makes it liver than a hip-hop, scuba diver, chillin with
a pina colada, kidada hooked me up with Tommy now I gotta
lot of gear from everywhere that I'd like to share (yeah right!)
But I'd rather do Kani, Don't ask why! 5001, my son gets shit done
All on the catwalk, What they've ever done for you
You betta get down with your real crew, Cause I ride the beat
and I ride it well and if you take a look it ain't hard to tell that I

Chorus (repeat)

To the L, to the Y, and the T, to the E
Rock the house and rock the house",mc lyte
15383,15384,2Pac,I Wonder If Heaven Got A Ghetto,Ghetto Gospel (feat. Elton John),2Pac,"Uhh,
Hit them with a lil' ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
If I could recelect before my hood dayz
I'd sit and reminisce, nigga and bliss on the good dayz
i stop and stare at the younger, my heart goes to'em
They tested, it was stressed that they under
In our days, things changed
Everyone's ashamed to the youth cuz the truth looks strange
And for me it's reversed, we left them a world that's cursed, and it hurts
cause any day they'll push the button
and yall condemned like Malcolm x and Bobby Hunton, died for nothin
Don't them let me get teary, the world looks dreary
but when you wipe your eyes, see it clearly
there's no need for you to fear me
if you take the time to hear me, maybe you can learn to cheer me
it aint about black or white, cuz we're human
I hope we see the light before its ruined
my ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
Tell me do you see that old lady aint it sad
Living out a bag, but she's glad for the little things she has
And over there there's a lady, crack got her crazy
Guess she's given birth to a baby
I don't trip and let it fade me, from outta the frying pan
We jump into another form of slavery
Even now I keep discouraged
Wonder if they take it all back while I still keep the courage
I refuse to be a role model
I set goals, take control, drink out my own bottle
I make mistakes, but learn from every one
And when its said and done
I bet this Brotha be a better one
If I'm upset, you don't stress
Never forget, that God hasn't finished with me yet
I feel his hand on my brain
When I write rhymes, I go blind, and let the lord do his thang
But am I less holy
Cuz I choose to puff a blunt and drink a beer with my homies
Before we find world peace
We gotta find peace in that war on the streets
My ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (Yeah My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
Lord can you hear me speak!!
To pay the price of being hell bound...",2pac
15384,15385,2Pac,Do For Love,California Love (feat. Dr. Dre),2Pac,"California love!

California...knows how to party
California...knows how to party
In the citaaay of L.A.
In the citaaay of good ol' Watts
In the citaaay, the city of Compton
We keep it rockin! We keep it rockin!

Verse One: Dr. Dre

Now let me welcome everybody to the wild, wild west
A state that's untouchable like Elliot Ness
The track hits ya eardrum like a slug to ya chest
Pack a vest for your Jimmy in the city of sex
We in that sunshine state with a bomb ass hemp beat
the state where ya never find a dance floor empty
And pimps be on a mission for them greens
lean mean money-makin-machines servin fiends
I been in the game for ten years makin rap tunes
ever since honeys was wearin sassoon
Now it's '95 and they clock me and watch me
Diamonds shinin lookin like I robbed Liberace
It's all good, from Diego to tha Bay
Your city is tha bomb if your city makin pay
Throw up a finger if ya feel the same way
Dre puttin it down for
Californ-i-a

California...knows how to party
California...knows how to party
In the citaaay of L.A.
In the citaaay of good ol' Watts
In the citaaay, the city of Compton
We keep it rockin! We keep it rockin!

Shake it shake it baby
Shake it shake it baby
Shake it shake it mama
Shake it Cali
Shake it shake it baby
Shake it shake it shake it shake it...

Verse Two: 2Pac

Out on bail fresh outta jail, California dreamin
Soon as I stepped on the scene, I'm hearin hoochies screamin
Fiendin for money and alcohol
the life of a west side playa where cowards die
Only in Cali where we riot not rally to live and die
In L.A. we wearin Chucks not Ballies (that's right)
Dressed in Locs and khaki suits and ride is what we do
Flossin but have caution we collide with other crews
Famous cause we program worldwide
Let'em recognize from Long Beach to Rosecrans
Bumpin and grindin like a slow jam, it's west side
So you know the row won't bow down to no man
Say what you say
But give me that bomb beat from Dre
Let me serenade the streets of L.A.
From Oakland to Sacktown
The Bay Area and back down
Cali is where they put they mack down
Give me love!

California...knows how to party
California...knows how to party
In the citaaay of L.A.
In the citaaay of good ol' Watts
In the citaaay, the city of Compton
We keep it rockin! We keep it rockin!

Dr. Dre: now make it shake...

Shake it shake it baby
Shake it shake it baby
Shake it shake it mama
Shake it Cali
Shake it shake it baby
Shake it shake it shake it shake it...

Outro: Dre, 2Pac

(Dre)uh, yeah, uh, longbeach in tha house, uh yeah
Oaktown, Oakland definately in tha house hahaha
Frisko, Frisko
(Tupac) hey, you know LA is up in this
(Dre)Pasadina, where you at
yeah, Ingelwood, Ingelwood always up to no good
(Tupac) even Hollywood tryin to get a piece baby
(Dre)Sacramento, sacramento where ya at? yeah

(Tupac)Throw it up y'all, throw it up, Throw it up, I can't see ya
Let's show these fools how we do this on that west side
Cause you and I know it's tha best side

(Dre)yeah, That's riight
west coast, west coast
uh, California Love
California Love",2pac
15405,15406,Fergie,Clumsy,Clumsy,Fergie,"Can't help it
Girl can't help it (Oh, Baby)

Can't help it
Girl can't help it (Oh, Baby)

Can't help it
Girl can't help it (Oh, Baby)

First time
That I saw your eyes
Boy, you looked right through me, mmmhmm
Played it cool
But I knew you knew
That cupid hit me, mmm mmm

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

Can't help it
The girl can't help it (Oh, baby)

Can't help it
Girl can't help it (Oh, no)

Can't help it
Girl can't help it (Oh, how)

Can't breath
When you touch my sleeve,
Butterflies so crazy, mmm mmm
Whoa now ?, Think I'm goin' down
Friends don't know what's with me, mmm mmm

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

Can't help it
Girl can't help it (Oh, no)

Can't help it
Girl can't help it (Oh please)

Can't help it
Girl can't help it (Oh, no)

You know, this ain't the first time this has happened to me
This love sick thing
I like serious relationships and uh
A girl like me don't stay single for long
'Cause every time a boyfriend and I break up
My world is crushed and I'm all alone
The love bug crawls right back up and bites me and I'm back

Can't help it
Girl can't help it (in love)

Can't help it
Girl can't help it (Oh, god)

Can't help it
Girl can't help it (I'm back in love)

Can't help it
Whooo Hoooo

Can't help it
Girl can't help it (I'm back in love, yeah)

Can't help it
Girl can't help it (I'm back in love, yeah baby)

Can't help it
Girl can't help it (I'm back in love, yeah)

Can't help it(I know you got me)

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love

So in love with you
So in love with you
So in love with you",fergie
15407,15408,50 Cent,I Get Money,I Get Money,50 Cent,"I get money, I get money, I get I get I get money (50)

[Chorus]
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah)
Money I got, money is got (I run New York!)
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah yeah)
Money I got, money is got (I run New York!)

[Verse 1]
I take quarter water sold it in bottles for 2 bucks,
Coca-Cola came and bought it
For billions, what the f**k?
Have a baby by me; baby
Be a millionaire
I write the check before the baby comes,
Who the f**k cares
Im stanky rich
Ima die tryna spend this shit
Southside's up in in this bitch
Yeah i smell like the vault
I used to sell dope
I did play the block
Now i play on boats
In the south of France
Baby, St. Tropez
Get a tan? im already black
Rich? I'm already that
Gangsta, get a gat
Hit a head in a hat
Call that a riddle rap
Shit, f**k the chitter chat
I'm the baker, i bake the bread
The barber, i cut ya head
The marksman, i spray the lead
""I blood clot, chop ya leg""
Do not f**k with the kid
I get biz wit the cigg
I come where you live
Ya dead!

[Chorus:]
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah)
Money I got, money is got (I run New York!)
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah yeah)
Money I got, money is got (I run New York!)

[Verse 2]
You can call this my new shit
But it aint new tho
I got rid of my old bitch
Now i got new hoes
First is was the Benzo
Now im in the Enzo, Ferrari, im sorry!
I keep blowin up! (Oh!!)
They call me the cake man
The strawberry shake man
I spray the AR
Make your whole click breakdance
Backspin, headspin, flatline, ya dead then
9 shells, Mac-10,
""who wan get it crackin?!""
I was young, i couldnt do good
Now i cant do bad
I ride, wreck the new Jag
I just buy the new Jag
Now nigga why you mad?
Oh you cant do that
Im so forgetful, they callin me cocky
I come up out the jewler, they callin me Rocky
Its the ice on my neck man, the wrist and my left hand
Bling like BLAOW
You like my style
Ha ha im headin to the bank right now

[Chorus:]
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah)
Money I got, money is got (I run New York!)
I get money, money is got (I I get it)
I get money, money is got (I I get it)
I get money, money is got (Yeah yeah)
Money I got, money is got (I run New York!)

Yeah, I talk the talk, and I walk the walk
Like a teflon Don, but i run New York
When i come outta court, yea i pop the Colt
I keep it gangsta, have ya outlined in chalk
I I get it,
In the hood if ya ask about me
Theyll tell ya im bout my bread
I I get it,
Round the world if ya ask about me
Theyll tell ya they love the kid
I I get it,
Whoa Hey..
I I get it,
Whoa Hey..
I I get it,
Whoa Hey..
Yeah,
Whoa Hey..
I run New York!
Whoa Hey..
I I get it,
Whoa Hey..
I I get it,
Whoa Hey..
Yeah, yeah,
Whoa Hey..
I run New York!
Whoa..
I get money, money is got
Im back on the streets man,
I get money, money is got
Im bringin the heat man,
I get money, money is got
Im on my grind,
Money I got, money is got
Like all the time,
I get money, money is got
Tryna stop my shine,
I get money, money is got
Ill cock my 9
Dont get outta line,
Money I got, money is got
I said dont get outta line
I I get it..
I I get it..
Yeah, yeah",50 cent
15618,15619,Lost Boyz,Lifestyles Of The Rich And Shameless,LyricId not more than zero and lyricChecksum length not more than zero.,ricId not more than zero and lyricChecksum length not more than zero.,ic: LyricId not more than zero and lyricChecksum length not more than zero.,lost boyz
15659,15660,Black Sheep,The Choice Is Yours,Weapon of Choice,Black Rebel Motorcycle Club,"I gotta speak and you want to listen up
There is no time to feast your eyes
You want it all but the world won't give it up
Up to the edge your star will rise

What is your weapon of choice,
What's your weapon of choice
There is no weapon to free us all
What is your weapon of choice,
What's your weapon of choice
There is no weapon to free us all

I won't waste it, I won't waste it, I won't waste my love on a nation
I won't waste it, I won't waste it, I won't waste my love on a nation

Everyone's got their own split factions
Every pawn will pay it's price
I've been digging out in all directions
I'll see you through to the after life


What is your weapon of choice,
What's your weapon of choice
There is no weapon to free us all
What is your weapon of choice,
What's your weapon of choice
There is no weapon to free us all

I won't waste it, I won't waste it, I won't waste my love on a nation
I won't waste it, I won't waste it, I won't waste my love on a nation

It's to hard too stand aside
It's enough to stop your heart

I won't waste it, I won't waste it, I won't waste my love on a nation
I won't waste it, I won't waste it, I won't waste my love on a nation
I won't waste it, I won't waste it, I won't waste my love on a nation
I won't waste it, I won't waste it, I won't waste my love on a nation.",black sheep
15660,15661,Black Sheep,Strobelite Honey,Strobelite Honey,Black Sheep,"Verse One: Dres
I skipped the line, I paid my dime
I hung my coat, and now it's time
To move to the forefront take my rounds
Say peace and give a pound have a drink, get down
I'm on the floor, besides the door
The sound is rich, and I ain't poor
I'm looking for Susie or Wendy or Judy
But look at her [repeat 3X] ""Who me?""
Yes, you sweetie, although it's hard to see thee
I see your silhouette and what I see has got me needy
I need you for a second of your time
But then I reckon that a second is too short let me try
""You're slammin!""
But anyway, I'd like to say
I'm Dres of the Black Sheep givin you play
Step out in the light, come show off yourself
Yo, I'm sorry, I thought you were someone else.
Chorus: Dres, Strobelite Hoe
I gotta go, I gotta go, I gotta go ""Don't go"" [repeat line 3X]
Just don't know ""Why?"" Hon, I just don't know
I gotta go, I gotta go, I gotta go ""Don't go"" [repeat line 3X]
See something ain't right ""Why?"" It's the strobelite
Insert - Mista Lawnge, Dres, Strobelite Hoe
[Mista Lawnge]
Van Damne, Oh man, now you look out
I can not dig it, I can not dig it
No, yo Black, I can not dig it
[Dres, Strobelite Hoe]
Listen Hon, I mean aaaaaah
It's nice looking at you, I just have to go
My man is right over there ""Where you going?""
I have to go ""Huhhhhh?""
[to his 'man' who doesn't exist] I'm on my way Black, I'm on my way
""Don't you have a number or something?""
Listen it's ahhhhhhh, 765-4321
""What area code is that?""
One, nine-hundred
Verse Two: Dres
Listen here dear, step to the rear
Find yourself a seat, buy yourself a beer
Eat some pretzels, go play some videos
Thank you for your time honey, but hoe, I gotta go
I think I lost my coat, and plus I'm double parked
I thought you was my girl, see I can't see in the dark
Anyway I'm out, out is where I be
I've got to step, ""With the viscosity""
When you see a honey by the strobelite
Black I hope you got good sight
For honey that you see, like a Shakespeare soliloquy
May or may not be, all that
In fact, quite wacked
With the girl that makes you stop tracks
But neither here nor there fear
Unless, of course, you don't care
Listen baby girl, let me say it slow
I-have-to-go
Not to dis, but lets disperse
Yo, I'll see you later, unless I see you first
Chorus
Outro: Dres
Can't swing tonight, so ahhhhhhh
Honey take a hike, go fly a kite
And I don't mean to be impolite
But yo, I'm outta here aight?",black sheep
15885,15886,Lil Rob,Summer Nights,Now Comes the Night,Rob Thomas,"When the hour is upon us
And our beauty surely gone
No you will not be forgotten
No you will not be alone

And when the day has all but ended
And our echo starts to fade
No you will not be alone then
And you will not be afraid
No you will not be afraid

When the fog has finally lifted
From my cold and tired brow
No I will not leave you crying
And I will not let you down
No I will not let you down
I will not let you down

Now comes the night
Feel it fading away
And the soul underneath
Is it all that remains
So just slide over here
Leave your fear in the fray
Let us hold to each other
Until the end of our days

When the hour is upon us
And our beauty surely gone
No you will not be forgotten
No you will not be alone
No you will not be alone",lil rob
